Date,Open,High,Low,Close,Adj Close,Volume
06-03-19,130.440002,130.606995,129.272003,130.110001,126.570862,272900
07-03-19,128.490005,129.059998,127.25,128.320007,124.829559,463000
08-03-19,127.010002,128.990005,126.82,128.880005,125.374321,250800
11-03-19,128.720001,130.880005,128.529999,130.759995,127.203163,328900
12-03-19,130.229996,130.710007,129.820007,130.190002,126.648682,170300
13-03-19,130.729996,130.880005,129.080002,130.050003,126.512482,440500
14-03-19,130.660004,131.25,129.860001,131.190002,127.621483,261200
15-03-19,132,132.199997,131.619995,131.779999,128.195435,252900
18-03-19,131.660004,132.455002,131.449997,132.279999,128.681839,221100
19-03-19,132.429993,132.699997,131.460007,131.610001,128.03006,213000
20-03-19,132.889999,132.889999,131,131.75,128.166245,306500
21-03-19,131.880005,132.617996,131.589996,132.389999,128.788849,167500
22-03-19,131.050003,131.339996,128.5,128.649994,125.150566,411900
25-03-19,129.919998,131.289993,129.179993,131.119995,127.553383,232900
26-03-19,132,133.339996,131.764999,132.960007,129.343338,305500
27-03-19,133.889999,134.529999,132.240005,132.779999,129.168228,386100
28-03-19,132.970001,133.639999,132.225006,133.050003,129.430893,354900
29-03-19,133.789993,134.740005,133.210007,133.800003,130.160477,344200
01-04-19,135.740005,136.669998,134.699997,135.050003,131.37648,554200
02-04-19,135.169998,136.330002,134.830002,135.970001,132.271469,282000
03-04-19,136.649994,137.259995,136,136.179993,132.475739,243000
04-04-19,136.809998,136.949997,135.759995,136.470001,132.757858,347300
05-04-19,137.490005,138,136.509995,136.940002,133.215073,255400
08-04-19,137.119995,137.350006,136.380005,137.130005,133.399933,516600
09-04-19,136.279999,136.824997,135.789993,136.440002,132.728668,184800
10-04-19,135.809998,137.130005,135.589996,136.509995,132.796753,207500
11-04-19,136.910004,137.360001,136.490005,137.259995,133.526367,189100
12-04-19,138.860001,139.070007,138.179993,138.570007,134.80072,292200
15-04-19,138,138,136.009995,137.029999,133.302628,270400
16-04-19,136.050003,138.350006,135.960007,138.089996,134.333786,325100
17-04-19,136.889999,138.240005,136.5,137.690002,133.944672,484100
18-04-19,137.339996,140.320007,137.240005,139.910004,136.104294,534900
22-04-19,139.910004,140.960007,139.380005,139.649994,135.851349,581500
23-04-19,137.649994,139.419998,137.449997,138.960007,136.311432,622600
24-04-19,137.270004,137.75,136.449997,136.479996,133.878693,450000
25-04-19,135.490005,136.190002,135.009995,135.559998,132.976212,237200
26-04-19,134.770004,135.5,134.470001,135.399994,132.81926,273100
29-04-19,134.570007,136.005005,134.154999,135.520004,132.936996,691500
30-04-19,136.039993,136.184998,134.904999,136.029999,133.437271,210500
01-05-19,136.139999,136.309998,134.449997,134.600006,132.034515,165100
02-05-19,134.820007,135.300003,133.695007,134.729996,132.162033,304300
03-05-19,133.929993,135.110001,133.929993,134.139999,131.583282,264900
06-05-19,130.25,133.130005,129.460007,132.330002,129.80777,837900
07-05-19,138.309998,139.070007,136.75,137.699997,135.075439,862200
08-05-19,138.509995,142.149994,138.119995,141.039993,138.351761,1554100
09-05-19,141.309998,142.039993,139.440002,141.160004,138.469482,772600
10-05-19,141.429993,142.029999,139.514999,141.330002,138.63623,1197200
13-05-19,137.770004,139.039993,137.369995,138.679993,136.036758,288900
14-05-19,140.559998,142.149994,140.315002,140.940002,138.253677,958100
15-05-19,138.770004,144.539993,138.440002,143.639999,140.902206,528400
16-05-19,143.039993,144.619995,142.75,143.660004,140.921844,1008900
17-05-19,142.940002,143.949997,142.046005,142.380005,139.666245,262600
20-05-19,141.679993,142.240005,140.570007,141.539993,138.842224,657000
21-05-19,142.809998,143.979996,142,143.860001,141.118011,447600
22-05-19,142.710007,143.699997,142.460007,142.869995,140.146896,350300
23-05-19,142.399994,142.559998,140.990005,142.330002,139.617188,410100
24-05-19,143.149994,144.559998,142.899994,144.289993,141.539825,450900
28-05-19,143.009995,145.130005,143.009995,144.520004,141.765442,473800
29-05-19,141.699997,143.25,140.970001,143.070007,140.343094,583000
30-05-19,142.169998,143.080002,142.080002,143,140.274414,330800
31-05-19,140.470001,143.419998,140.104996,143.020004,140.294022,635800
03-06-19,142.009995,143.050003,140.949997,141.970001,139.264053,765600
